MOL_smiles,pIC50,Gene_Symbol,Original_Entry_ID
CCOc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1OC,5.85,EGFR,CHEMBL1240554
CC(C)n1nc(-c2ccc3nccnc3c2)c2c(N)ncnc21,4.74,EGFR,CHEMBL1241774
CCOc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1OC,5.23,EGFR,CHEMBL1242472
CC(C)n1nc(-c2ccc3occc3c2)c2c(N)ncnc21,6.02,EGFR,CHEMBL1241490
CCOc1ccc2cc(-c3nn(C)c4ncnc(N)c34)ccc2c1,4.68,EGFR,CHEMBL1242661
COc1ccc(-c2nn([C@@H]3CCNC3)c3ncnc(N)c23)cc1O,4.9,EGFR,CHEMBL1242288
Cc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1O,6.18,EGFR,CHEMBL1242026
COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1O,6.04,EGFR,CHEMBL1242112
CC(C)n1nc(-c2cc(C=O)co2)c2c(N)ncnc21,5.22,EGFR,CHEMBL1241439
Nc1ncnc2c1c(-c1cccc(O)c1F)nn2C1CCCC1,5.75,EGFR,CHEMBL1242111
CCOc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1OC,4.27,EGFR,CHEMBL1242752
COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1OC,5.52,EGFR,CHEMBL1242290
CC(C)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,5.85,EGFR,CHEMBL1242377
CC(C)n1nc(-c2ccc(C=O)c(F)c2)c2c(N)ncnc21,5.05,EGFR,CHEMBL1241860
CC(C)n1nc(-c2cc(F)c(C=O)c(F)c2)c2c(N)ncnc21,5.0,EGFR,CHEMBL1241861
Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2[C@@H]1CCOC1,5.85,EGFR,CHEMBL1241768
Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2[C@H]1CCOC1,5.8,EGFR,CHEMBL1241678
CC(C)n1nc(-c2ccc3nonc3c2)c2c(N)ncnc21,5.08,EGFR,CHEMBL1241492
CC(C)n1nc(-c2ccc(N=S(C)(=O)O)cc2)c2c(N)ncnc21,4.89,EGFR,CHEMBL1242030
N#CCCCCn1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,4.96,EGFR,CHEMBL1242470
Nc1ncnc2c1c(-c1ccc3ncccc3c1)nn2C1CCCC1,5.68,EGFR,CHEMBL1241681
CC(C)n1nc(-c2ccc(C#N)c(O)c2)c2c(N)ncnc21,5.59,EGFR,CHEMBL1241944
COc1ccc(-c2nn(C)c3ncnc(N)c23)cc1O,4.0,EGFR,CHEMBL1241301
Nc1ncnc2c1c(-c1ccc3nc(O)ccc3c1)nn2C1CCCC1,5.85,EGFR,CHEMBL1241864
Nc1ncnc2c1c(-c1ccn3ccnc3c1)nn2C1CCCC1,4.92,EGFR,CHEMBL1241675
COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1,5.37,EGFR,CHEMBL1242847
CC(C)n1nc(-c2ccc3[nH]c(O)nc3c2)c2c(N)ncnc21,6.03,EGFR,CHEMBL1241586
CC(C)n1nc(-c2cc(F)c(O)cc2F)c2c(N)ncnc21,5.16,EGFR,CHEMBL1242028
CC(C)(C)OC(=O)n1ccc2cc(-c3nn(C4CCCC4)c4ncnc(N)c34)ccc21,6.41,EGFR,CHEMBL1242853
Cc1cc(O)ccc1-c1nn(C(C)C)c2ncnc(N)c12,6.02,EGFR,CHEMBL1242024
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2[C@@H]1CCNC1,4.81,EGFR,CHEMBL1242658
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2[C@H]1CCNC1,5.06,EGFR,CHEMBL1242657
COc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1O,6.36,EGFR,CHEMBL1242201
Nc1ncnc2c1c(-c1cnc3ccccc3c1)nn2C1CCCC1,6.27,EGFR,CHEMBL1242755
COc1cc(Br)cc(-c2nn(C(C)C)c3ncnc(N)c23)c1,4.96,EGFR,CHEMBL1242200
CC(C)n1nc(-c2ccc3nccc(N)c3c2)c2c(N)ncnc21,4.0,EGFR,CHEMBL1242034
C=CCn1nc(-c2ccc(OCC)c(OC)c2)c2c(N)ncnc21,5.29,EGFR,CHEMBL1242569
Cc1ccc(-c2nn(C)c3ncnc(N)c23)cc1O,4.72,EGFR,CHEMBL1241271
COc1ncc(-c2nn(C(C)C)c3ncnc(N)c23)c(OC)n1,4.0,EGFR,CHEMBL1242846
CC(=O)c1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1,4.92,EGFR,CHEMBL1241773
Nc1ncnc2c1c(-c1ccc3occc(=O)c3c1)nn2C1CCCC1,4.0,EGFR,CHEMBL1242119
CC(C)n1nc(-c2cnc3ccccc3c2)c2c(N)ncnc21,6.0,EGFR,CHEMBL1242754
CCOc1ccc(-c2nn(C3CCCCC3)c3ncnc(N)c23)cc1OC,5.94,EGFR,CHEMBL1242659
Nc1ncnc2c1c(-c1ccc(Br)c(O)c1)nn2C1CCC1,6.49,EGFR,CHEMBL1242287
CCOc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1O,6.11,EGFR,CHEMBL1242289
Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2CC1CCCN1,5.03,EGFR,CHEMBL1241769
CC(C)n1nc(-c2cc3ccccc3nc2Cl)c2c(N)ncnc21,4.0,EGFR,CHEMBL1242663
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2Cc1ocnc1-c1ccccc1,4.0,EGFR,CHEMBL1241482
CC(=O)c1cccc(-c2nn(C(C)C)c3ncnc(N)c23)c1,5.55,EGFR,CHEMBL1241946
COc1ccc(-c2nn(C3CCC3)c3ncnc(N)c23)cc1OC,5.64,EGFR,CHEMBL1233881
Nc1ncnc2c1c(-c1ccc3occc3c1)nn2C1CCCC1,6.24,EGFR,CHEMBL1241491
Nc1ncnc2c1c(-c1cc(O)cc(F)c1)nn2C1CCCC1,6.12,EGFR,CHEMBL1242199
Cn1nc(-c2ccc3occc(=O)c3c2)c2c(N)ncnc21,5.0,EGFR,CHEMBL1242117
Cc1nn(-c2ccccc2)nc1Cn1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,4.0,EGFR,CHEMBL1242845
CC(C)n1nc(-c2ccc3cc(O)ccc3c2)c2c(N)ncnc21,7.06,EGFR,CHEMBL1242662
COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1N,5.41,EGFR,CHEMBL1241485
CC(C)n1nc(-c2cc3cc(C=O)ccc3s2)c2c(N)ncnc21,4.0,EGFR,CHEMBL1241684
Cc1cc(-c2nn(C(C)C)c3ncnc(N)c23)sc1C=O,5.0,EGFR,CHEMBL1241947
COCOc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1Br,5.36,EGFR,CHEMBL1242286
CC(C)n1nc(-c2cccc3[nH]ccc23)c2c(N)ncnc21,5.34,EGFR,CHEMBL1242757
COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1NC(C)CO,5.27,EGFR,CHEMBL1241486
Cc1ccc2ccc(-c3nn(C(C)C)c4ncnc(N)c34)cc2n1,4.74,EGFR,CHEMBL1242209
CCOc1cc(-c2nn(CCO)c3ncnc(N)c23)ccc1OC,5.1,EGFR,CHEMBL1242753
CC(C)n1nc(-c2ccc(C#N)c(F)c2)c2c(N)ncnc21,5.05,EGFR,CHEMBL1241771
CC(C)n1nc(-c2ccc(O)cc2)c2c(N)ncnc21,6.04,EGFR,CHEMBL1241241
C[C@H](CN)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,4.0,EGFR,CHEMBL1242378
C[C@@H](CN)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,4.59,EGFR,CHEMBL1242468
COc1cccc(-c2nn(C(C)C)c3ncnc(N)c23)c1,5.85,EGFR,CHEMBL1242029
CC(C)n1nc(-c2cnc3[nH]ccc3c2)c2c(N)ncnc21,6.42,EGFR,CHEMBL1242293
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2C1CCC1,5.54,EGFR,CHEMBL1242566
COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1O,5.66,EGFR,CHEMBL1242114
COc1ccc(-c2nn(C3CNC3)c3ncnc(N)c23)cc1O,4.77,EGFR,CHEMBL1242203
COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)cc(OC)c1OC,5.29,EGFR,CHEMBL1242660
CC(C)n1nc(-c2ccc3c(c2)OCCO3)c2c(N)ncnc21,4.82,EGFR,CHEMBL1241588
CC(C)n1nc(-c2ccc3c(c2)CCO3)c2c(N)ncnc21,5.3,EGFR,CHEMBL1241587
Cn1ccc2cc(-c3nn(C4CCCC4)c4ncnc(N)c34)ccc21,6.27,EGFR,CHEMBL1242385
CC(C)n1nc(-c2cccc(CC#N)c2)c2c(N)ncnc21,4.77,EGFR,CHEMBL1241583
COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1NC(=O)OC(C)(C)C,6.77,EGFR,CHEMBL1241481
Nc1ncnc2c1c(-c1ccc(Br)c(O)c1)nn2C1CCCC1,6.63,EGFR,CHEMBL1242376
Nc1ncnc2c1c(-c1cccc3[nH]ccc13)nn2C1CCCC1,5.85,EGFR,CHEMBL1242758
CC1CCC(n2nc(-c3ccc(F)c(O)c3)c3c(N)ncnc32)C1,6.44,EGFR,CHEMBL1242656
Cn1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21,4.0,EGFR,CHEMBL1241299
CC(C)n1nc(-c2cc(O)cc(F)c2)c2c(N)ncnc21,6.24,EGFR,CHEMBL1242198
CC(C)n1nc(-c2ccc3cnccc3c2)c2c(N)ncnc21,4.6,EGFR,CHEMBL1242207
COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1F,5.41,EGFR,CHEMBL1241483
CC(C)n1nc(-c2ccc3ccncc3c2)c2c(N)ncnc21,4.0,EGFR,CHEMBL1242208
CC(C)n1nc(-c2ccc(N)c(O)c2)c2c(N)ncnc21,5.67,EGFR,CHEMBL1242848
Nc1ncnc2c1c(-c1ccc3[nH]ccc3c1)nn2C1CCCC1,6.13,EGFR,CHEMBL1242295
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2[C@@H]1CCOC1,5.59,EGFR,CHEMBL1242749
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2[C@H]1CCOC1,5.32,EGFR,CHEMBL1242748
Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2CC1CCCNC1,5.57,EGFR,CHEMBL1241858
CC(C)n1nc(-c2ccc3nc(NN)ccc3c2)c2c(N)ncnc21,5.15,EGFR,CHEMBL1241950
C[C@H](CN)n1nc(-c2ccc(Cl)c(O)c2)c2c(N)ncnc21,5.32,EGFR,CHEMBL1241579
C[C@@H](CN)n1nc(-c2ccc(Cl)c(O)c2)c2c(N)ncnc21,5.04,EGFR,CHEMBL1240544
Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,6.59,EGFR,CHEMBL1081312
CC(C)n1nc(-c2ccc(C(N)=O)c(Cl)c2)c2c(N)ncnc21,4.0,EGFR,CHEMBL1241862
