Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pIC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,InChI,SMILES,updated,MOL_smiles,unique_id
AAAAZQPHATYWOK-YRBRRWAQNA-N,CHEMBL175513,1956,A,6.73,chembl20,312997,9606,EGFR,1260,"InChI=1/C32H29ClN6O3S/c1-4-41-28-16-25-22(15-26(28)37-30(40)10-7-13-39(2)3)32(20(17-34)18-35-25)36-21-11-12-27(23(33)14-21)42-19-31-38-24-8-5-6-9-29(24)43-31/h5-12,14-16,18H,4,13,19H2,1-3H3,(H,35,36)(H,37,40)/b10-7+/f/h36-37H",C1=2C(=C(C#N)C=NC1=CC(=C(C2)NC(/C=C/CN(C)C)=O)OCC)NC3=CC(Cl)=C(C=C3)OCC4=NC=5C=CC=CC5S4,,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4nc5ccccc5s4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,e20a75a5e83123c7b26f8eb4cda6315611bda442
AAALVYBICLMAMA-MPIMZMORNA-N,CHEMBL268868,1956,A,6.8,chembl20,29499,9606,EGFR,1260,"InChI=1/C20H15N3O2/c24-19-15-11-17(21-13-7-3-1-4-8-13)18(12-16(15)20(25)23-19)22-14-9-5-2-6-10-14/h1-12,21-22H,(H,23,24,25)/f/h23H",C=1C=C(NC2=C(NC3=CC=CC=C3)C=C4C(NC(C4=C2)=O)=O)C=CC1,,O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,6cd7ab48e50c5e2f499850b11b4e9765b80f28f4
AABTVDZTFBSBKN-UHFFFAOYNA-N,44416433,1956,A,5.92082,pubchem,271215,9606,EGFR,1260,"InChI=1/C20H18BrN3O4/c1-24-10-12-7-16(25-2)17(26-3)9-15(12)28-20-18(24)19(22-11-23-20)27-14-6-4-5-13(21)8-14/h4-9,11H,10H2,1-3H3",BrC=1C=C(OC2=NC=NC=3OC=4C(CN(C32)C)=CC(OC)=C(OC)C4)C=CC1,,COc1cc2c(cc1OC)Oc1ncnc(Oc3cccc(Br)c3)c1N(C)C2,4cdd2dd38339366c66c2fba69fc26debf6558221
AAGKMGNYUYCEPD-HIVOMVAKNA-N,CHEMBL2048906,1956,A,8.54,chembl20,827250,9606,EGFR,1260,"InChI=1/C23H19ClN6O2S/c1-14(31)25-8-10-30-9-7-18-22(30)23(27-13-26-18)29-15-5-6-20(17(24)11-15)32-19-3-2-4-21-16(19)12-28-33-21/h2-7,9,11-13H,8,10H2,1H3,(H,25,31)(H,26,27,29)/f/h25,29H",C(C)(=O)NCCN1C=CC2=NC=NC(=C21)NC=3C=C(C(=CC3)OC4=C5C=NSC5=CC=C4)Cl,,CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,1c08521ee2742402d71148c520ff92857f606ce1
AAHKGRWRYBCWDL-HPHMPNDVNA-N,CHEMBL1240554,1956,A,5.85,chembl20,654933,9606,EGFR,1260,"InChI=1/C19H23N5O2/c1-3-26-14-9-8-12(10-15(14)25-2)17-16-18(20)21-11-22-19(16)24(23-17)13-6-4-5-7-13/h8-11,13H,3-7H2,1-2H3,(H2,20,21,22)/f/h20H2",N1=CN=C2N(N=C(C=3C=CC(=C(OC)C3)OCC)C2=C1N)C4CCCC4,,CCOc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1OC,a02a3767c7bcce175a3b3fbdc25aee464aacdf20
AAKJLRGGTJKAMG-LNNLXFCONA-N,CHEMBL553,1956,A,9.7,chembl20,624184,9606,EGFR,1260,"InChI=1/C22H23N3O4/c1-4-16-6-5-7-17(12-16)25-22-18-13-20(28-10-8-26-2)21(29-11-9-27-3)14-19(18)23-15-24-22/h1,5-7,12-15H,8-11H2,2-3H3,(H,23,24,25)/f/h25H",C=12C(=NC=NC1C=C(C(=C2)OCCOC)OCCOC)NC=3C=C(C#C)C=CC3,,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,faa47f93a48a392f04ea96c61bfe7798b60d43b0
AALMZTNNZVHOAS-AWIDAIFANA-N,CHEMBL595757,1956,N,4.74,chembl20,603361,9606,EGFR,1260,"InChI=1/C18H22N4O2/c1-10(2)13(12-6-4-5-7-14(12)23-3)8-11-9-24-17-15(11)16(19)21-18(20)22-17/h4-7,9-10,13H,8H2,1-3H3,(H4,19,20,21,22)/f/h19-20H2",N1=C(N=C2C(=C1N)C(CC(C(C)C)C3=CC=CC=C3OC)=CO2)N,,COc1ccccc1C(Cc1coc2nc(N)nc(N)c12)C(C)C,abaaffb6facf96fdcd6c12695a29769d61e7b408
AALNCHNFTKRFEL-UHFFFAOYNA-N,CHEMBL7735,1956,A,5.29,chembl20,206625,9606,EGFR,1260,"InChI=1/C17H12N2O2/c20-12-5-6-14-11(7-12)9-16(19-14)17(21)15-8-10-3-1-2-4-13(10)18-15/h1-9,18-20H",C=1(NC2=CC=C(C=C2C1)O)C(C=3NC4=CC=CC=C4C3)=O,,O=C(c1cc2ccccc2[nH]1)c1cc2cc(O)ccc2[nH]1,ca8d520c23837d77aac4ef0c057d1c162e2b6144
AATOPLAJLQECRD-HVXXBKQBNA-N,CHEMBL354033,1956,A,5.57,chembl20,67040,9606,EGFR,1260,"InChI=1/C16H17N5O/c17-15-14-13(10-1-3-12(22)4-2-10)8-21(11-5-6-18-7-11)16(14)20-9-19-15/h1-4,8-9,11,18,22H,5-7H2,(H2,17,19,20)/f/h17H2",C12=C(C(C3=CC=C(C=C3)O)=CN1C4CCNC4)C(N)=NC=N2,,Nc1ncnc2c1c(-c1ccc(O)cc1)cn2C1CCNC1,f6a04bf0a8d160dbd9b6a75a4fca5de886dd7154
AAVGHUCVRHUVEM-PDJAEHLQNA-N,CHEMBL1947123,1956,A,5.03,chembl20,802194,9606,EGFR,1260,"InChI=1/C18H14ClFN2O4/c1-25-15-6-10-14(7-16(15)26-2)21-8-11(18(23)24)17(10)22-9-3-4-13(20)12(19)5-9/h3-8H,1-2H3,(H,21,22)(H,23,24)/f/h22-23H",C1(=C(OC)C=C2C(=C1)C(NC=3C=CC(=C(C3)Cl)F)=C(C=N2)C(=O)O)OC,,COc1cc2ncc(C(=O)O)c(Nc3ccc(F)c(Cl)c3)c2cc1OC,31bab14e25c43d44bd2eeb6f6ca58d5f8cd0d2fc
AAXJTXUUVCETME-HPHMPNDVNA-N,CHEMBL1173813,1956,A,6.47,chembl20,642443,9606,EGFR,1260,"InChI=1/C19H21N3S/c1-12-4-7-15(8-5-12)18-11-17(21-22(18)19(20)23)16-9-6-13(2)14(3)10-16/h4-10,18H,11H2,1-3H3,(H2,20,23)/f/h20H2",C1C(C2=CC(=C(C=C2)C)C)=NN(C(N)=S)C1C3=CC=C(C=C3)C,,Cc1ccc(C2CC(c3ccc(C)c(C)c3)=NN2C(N)=S)cc1,5423047474cef0aaa8459a10ea7f5fd896a4f779
AAYZTFLAQXDFOL-PAIUYCELNA-N,CHEMBL1987910,1956,A,5.7,chembl20,809214,9606,EGFR,1260,"InChI=1/C21H15F3N4OS/c22-21(23,24)15-3-1-2-4-16(15)28-20(29)27-13-7-5-12(6-8-13)14-11-30-17-9-10-26-19(25)18(14)17/h1-11H,(H2,25,26)(H2,27,28,29)/f/h27-28H,25H2",S1C2=C(C(C3=CC=C(NC(=O)NC=4C(C(F)(F)F)=CC=CC4)C=C3)=C1)C(=NC=C2)N,,Nc1nccc2scc(-c3ccc(NC(=O)Nc4ccccc4C(F)(F)F)cc3)c12,76fb221bebd97a3ccd92505ead01d8b25688fe89
ABBADGFSRBWENF-UHFFFAOYNA-N,CHEMBL2218926,1956,N,4.6,chembl20,887868,9606,EGFR,1260,"InChI=1/C14H13BrN2O/c1-14(2,3)11-5-9(4-10(7-16)8-17)6-12(15)13(11)18/h4-6,18H,1-3H3",CC(C)(C)C1=CC(C=C(C#N)C#N)=CC(=C1O)Br,,CC(C)(C)c1cc(C=C(C#N)C#N)cc(Br)c1O,a09312621c919ad1b4fd5bc776642f01d379596f
ABDIOQXDBJMGHB-IUDLKWNGNA-N,CHEMBL30973,1956,A,7.43,chembl20,63781,9606,EGFR,1260,"InChI=1/C22H20BrN5O/c1-28(2)10-4-7-21(29)26-18-8-9-20-19(12-18)22(15(13-24)14-25-20)27-17-6-3-5-16(23)11-17/h3-9,11-12,14H,10H2,1-2H3,(H,25,27)(H,26,29)/b7-4+/f/h26-27H",C=1(C2=C(C=CC(NC(/C=C/CN(C)C)=O)=C2)N=CC1C#N)NC=3C=C(Br)C=CC3,,CN(C)C/C=C/C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,68cf027ec11588ad4da7b41c720fded8b2f6895e
ABEGFBRZNZWQBS-DBPQDODONA-N,CHEMBL120979,1956,A,8.1,chembl20,66565,9606,EGFR,1260,"InChI=1/C18H15ClN6O/c1-26-14-7-3-6-13(9-14)23-18-15-16(20-10-21-17(15)24-25-18)22-12-5-2-4-11(19)8-12/h2-10H,1H3,(H3,20,21,22,23,24,25)/f/h22-23,25H",C1(=C2C(=NC=NC2=NN1)NC3=CC(Cl)=CC=C3)NC4=CC(OC)=CC=C4,,COc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,fe3b5d4fd0c6c0d04e98bb904a4993a2efc75cd6
ABNJTLJOBGFVGE-PUXXYCQMNA-N,70692178,1956,A,8.69465,pubchem,661563,9606,EGFR,1260,"InChI=1/C25H25ClFN5O3/c1-2-35-23-13-21-18(12-22(23)31-24(33)5-6-32-7-9-34-10-8-32)25(16(14-28)15-29-21)30-17-3-4-20(27)19(26)11-17/h3-4,11-13,15H,2,5-10H2,1H3,(H,29,30)(H,31,33)/f/h30-31H",ClC=1C=C(NC=2C3=CC(NC(=O)CCN4CCOCC4)=C(OCC)C=C3N=CC2C#N)C=CC1F,,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN1CCOCC1,7a7341c45db721019e839956b28c802604414071
ABOUXXMKTJTICI-AWIDAIFANA-N,CHEMBL603198,1956,N,4.25,chembl20,603361,9606,EGFR,1260,"InChI=1/C18H20N4O2/c1-23-14-5-3-2-4-12(14)13(10-6-7-10)8-11-9-24-17-15(11)16(19)21-18(20)22-17/h2-5,9-10,13H,6-8H2,1H3,(H4,19,20,21,22)/f/h19-20H2",N1=C(N=C2C(=C1N)C(CC(C3CC3)C4=CC=CC=C4OC)=CO2)N,,COc1ccccc1C(Cc1coc2nc(N)nc(N)c12)C1CC1,65ee059a82e37765f78f9dc603956f2889487318
ABXZGIQHNLYSJX-UHFFFAOYNA-N,CHEMBL1822063,1956,A,5.33,chembl20,766557,9606,EGFR,1260,"InChI=1/C26H22ClN3OS/c1-17-3-5-20(6-4-17)25-15-23(18-9-13-22(31-2)14-10-18)29-30(25)26-28-24(16-32-26)19-7-11-21(27)12-8-19/h3-14,16,25H,15H2,1-2H3",C1(=CC=C(C=C1)C=2CC(C=3C=CC(=CC3)C)N(N2)C=4SC=C(N4)C5=CC=C(C=C5)Cl)OC,,COc1ccc(C2=NN(c3nc(-c4ccc(Cl)cc4)cs3)C(c3ccc(C)cc3)C2)cc1,ac7772db783a33bf540b0c66dc6beed8f1b255d1
ACGUYXCXAPNIKK-UHFFFAOYNA-N,CHEMBL496,1956,A,6.13,chembl20,774682,9606,EGFR,1260,"InChI=1/C13H6Cl6O2/c14-6-2-8(16)12(20)4(10(6)18)1-5-11(19)7(15)3-9(17)13(5)21/h2-3,20-21H,1H2",OC1=C(Cl)C=C(C(=C1CC2=C(C(=CC(=C2Cl)Cl)Cl)O)Cl)Cl,,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,7d6f66197c4309b126c7240ee4a84bb587f8408b
