MOL_smiles,pIC50,Gene_Symbol,Original_Entry_ID
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4nc5ccccc5s4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,6.73,EGFR,CHEMBL175513
O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,6.8,EGFR,CHEMBL268868
CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,8.54,EGFR,CHEMBL2048906
CCOc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1OC,5.85,EGFR,CHEMBL1240554
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,9.7,EGFR,CHEMBL553
COc1ccccc1C(Cc1coc2nc(N)nc(N)c12)C(C)C,4.74,EGFR,CHEMBL595757
O=C(c1cc2ccccc2[nH]1)c1cc2cc(O)ccc2[nH]1,5.29,EGFR,CHEMBL7735
Nc1ncnc2c1c(-c1ccc(O)cc1)cn2C1CCNC1,5.57,EGFR,CHEMBL354033
COc1cc2ncc(C(=O)O)c(Nc3ccc(F)c(Cl)c3)c2cc1OC,5.03,EGFR,CHEMBL1947123
Cc1ccc(C2CC(c3ccc(C)c(C)c3)=NN2C(N)=S)cc1,6.47,EGFR,CHEMBL1173813
Nc1nccc2scc(-c3ccc(NC(=O)Nc4ccccc4C(F)(F)F)cc3)c12,5.7,EGFR,CHEMBL1987910
CC(C)(C)c1cc(C=C(C#N)C#N)cc(Br)c1O,4.6,EGFR,CHEMBL2218926
CN(C)C/C=C/C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,7.43,EGFR,CHEMBL30973
COc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,8.1,EGFR,CHEMBL120979
COc1ccccc1C(Cc1coc2nc(N)nc(N)c12)C1CC1,4.25,EGFR,CHEMBL603198
COc1ccc(C2=NN(c3nc(-c4ccc(Cl)cc4)cs3)C(c3ccc(C)cc3)C2)cc1,5.33,EGFR,CHEMBL1822063
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,6.13,EGFR,CHEMBL496
COc1ccc(-c2ccc(NC(=O)Nc3ccc(F)c(C)c3)cc2)c2c(N)noc12,5.7,EGFR,CHEMBL1979093
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)NCCCNC(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,4.46,EGFR,CHEMBL144632
O=C1c2ccccc2-c2n[nH]c3cccc1c23,5.7,EGFR,CHEMBL1725279
CN(C)c1ccc(Nc2ncnc3ccncc23)c(N)c1,5.31,EGFR,CHEMBL271540
Cc1cccc(CN(Cc2ccc(O)cc2)C(=O)Nc2ccccc2)c1O,5.12,EGFR,CHEMBL590525
CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)CCF,9.1,EGFR,CHEMBL1243345
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(S(N)(=O)=O)cc3)c2c1,4.12,EGFR,CHEMBL3133910
NC1CCC(Nc2nccc(-c3c[nH]c4ncccc34)n2)CC1,5.7,EGFR,CHEMBL1966628
COc1cc2ncc(C#N)c(Nc3cccc(NC(C)=O)c3)c2cc1OC,4.16,EGFR,CHEMBL324399
N#C/C(=C\c1cc(O)ccc1O)C(N)=O,5.0,EGFR,CHEMBL47660
COc1cc2ncnc(Nc3ccc(Cl)c(NC(=O)c4cccc(N(C)C)c4)c3)c2cc1OC,6.0,EGFR,CHEMBL184682
CN1CCN(CCCNc2cc3ncnc(Nc4cccc(Br)c4)c3cn2)CC1,8.31,EGFR,CHEMBL340484
COc1cc(OC)cc(-c2nnc(SCc3ccccc3)o2)c1,4.58,EGFR,CHEMBL1929314
CCN(C=CCC(=O)N1CCc2c(sc3ncnc(N[C@H](CO)c4ccccc4)c23)C1)CC,8.05,EGFR,CHEMBL1272324
O=C1Nc2ccccc2Nc2nnc(Cl)cc21,5.7,EGFR,CHEMBL1968850
COc1cc(/C=C(\C#N)C(N)=O)cc(CSC2=NCCS2)c1O,5.06,EGFR,CHEMBL324030
Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(-c2ccccc2)cc1,6.21,EGFR,CHEMBL1173718
CN=C1CC2N=CN(C)/C(=N\c3cccc(Br)c3)C2C=N1,8.51,EGFR,CHEMBL52882
Cc1ncc([N+](=O)[O-])n1C/C(=N/NC(=O)c1ccc(N)cc1)c1ccc(Br)cc1,6.37,EGFR,CHEMBL3088219
Nc1ncnc2c1c(-c1ccccc1)cn2-c1ccccc1,6.3,EGFR,CHEMBL169757
CCC(=O)Nc1ccc2c(C#N)cnc(Nc3cccc(Br)c3)c2c1,4.68,EGFR,CHEMBL1641991
N#C/C(=C\c1ccc(O)cc1)C(=O)O,3.78,EGFR,CHEMBL76602
Fc1ccc(Nc2ncnc3ccc(C#Cc4ccccc4)cc23)cc1Cl,6.48,EGFR,CHEMBL249511
CC(C)n1nc(-c2ccc3nccnc3c2)c2c(N)ncnc21,4.74,EGFR,CHEMBL1241774
COc1cc(/C=C2\CCC/C(=C\c3ccc(O)cc3)C2=O)cc(OC)c1,5.34,EGFR,CHEMBL2316153
Nc1nc(Nc2ccc(C(F)(F)F)c(F)c2)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,4.04,EGFR,CHEMBL1094808
O=C(/C=C/N1CCOCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,6.67,EGFR,CHEMBL94123
OC[C@@H](Nc1ncnc2oc(-c3ccccc3)c(Cl)c12)c1ccccc1,6.23,EGFR,CHEMBL2347968
Cc1n[nH]c2cccc(-c3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)c12,5.7,EGFR,CHEMBL1970074
COc1cccc2c(C(=O)Nc3ccccc3)c(SSc3c(C(=O)Nc4ccccc4)c4cccc(OC)c4n3C)n(C)c12,5.19,EGFR,CHEMBL292323
Cc1cccc(Nc2ncnc3ccccc23)c1,6.04,EGFR,CHEMBL441083
COc1cc2c(cc1OC)Sc1ncnc(Nc3ccc4c[nH]nc4c3)c1NC2,4.85,EGFR,CHEMBL385425
C=NNNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.15,EGFR,CHEMBL137617
Cc1cccc(Nc2[nH]cnc3nc(C)c(C)c2-3)c1,6.24,EGFR,CHEMBL307026
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC1CCN(C)CC1,8.0,EGFR,CHEMBL276154
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Br)c3)ncnc2cc1OCCCN1CCOCC1,8.74,EGFR,CHEMBL27685
C=S(O)(O)=CCNCc1ccc(-c2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)o1,9.0,EGFR,CHEMBL475768
Cc1ccc(O)cc1N1C(=O)C2CCCC=C2c2c(N)ncnc21,5.79,EGFR,CHEMBL2152704
COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1,6.6,EGFR,CHEMBL542733
COc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,7.62,EGFR,CHEMBL179726
